,text,star,Corrected_scent,app_id,reviewDate
15,Good games,4,Good Games,com.fingersoft.hillclimb,18/03/21
16,I is so oosem game,5,I is so oosem game.,com.fingersoft.hillclimb,18/03/21
17,Good game,3,Good game.,com.fingersoft.hillclimb,18/03/21
18,All right for the price you pay.,4,All right for the price you pay.,com.alibaba.aliexpresshd,18/03/21
19,"I like the app, it works really well. It is a much better experience then the website.",5,"I like the app, it works really well. It is a much better experience than the website.",com.alibaba.aliexpresshd,18/03/21
20,Chicago,5,Chicago;,com.alibaba.aliexpresshd,18/03/21
21,Please add dark amoled theme,4,Please add dark amoled theme.,com.alibaba.aliexpresshd,18/03/21
22,Very easy to use and my delivery was quick and very well protected. Thank you! A+,5,"Very easy to use, and my delivery was quick and very well protected.",com.alibaba.aliexpresshd,18/03/21
23,Awesome,4,Awesome.,com.alibaba.aliexpresshd,18/03/21
24,Excelent Best of all,5,Excelent Best of all.,com.alibaba.aliexpresshd,18/03/21
25,I've been ordering here for years. Updated to say its still pretty good in 2021,5,"I've been ordering here for years, Updated to say it's still pretty good in 2021.",com.alibaba.aliexpresshd,18/03/21
26,Why is Alixpress customer service not Available. Like I don't understand please Please reply me,1,"Why is Alixpress customer service not available? Like I don't understand, please reply me.",com.alibaba.aliexpresshd,18/03/21
27,Very useful app 👌,5,Very useful app,com.alibaba.aliexpresshd,18/03/21
28,Excellent products and speed of shipments.,5,Excellent products and speed of shipment.,com.alibaba.aliexpresshd,18/03/21
29,"Fast, simple to use. Best shipping I know of. Everything you can imagine on electronics is there and there are quite a few amazing, unknown to the US items --- really worth it. This is the ONLY app from which in never mind getting ads! 😂",5,"Fast, easy to use. Best shipping I know of. Everything you can imagine on electronics is there, and there are quite some amazing, unknown to the US items ------ really worth it. This is the only app from which in never mind getting ads!",com.alibaba.aliexpresshd,18/03/21
30,👍,5,,com.alibaba.aliexpresshd,18/03/21
31,Love the possibilities of the app. Working wel.,5,Love the possibilities of the app.,com.alibaba.aliexpresshd,18/03/21
32,Great,4,Great.,com.alibaba.aliexpresshd,18/03/21
33,I Love AliExpress and All Sellers in AliExpress No Scam Zone ★★★★★,5,I Love AliExpress and All Sellers in AliExpress No Scam Zone,com.alibaba.aliexpresshd,18/03/21
34,I have ordered severally using the app and its very reliable shipping is fast anf what you order is what you get,5,I have ordered severally using the app and its very reliable shipping is fast &ft what you order is what you get.,com.alibaba.aliexpresshd,18/03/21
35,The search engine needs work. Doesn't work as well as I'd like. A lot of useless items come up in a search that has none of the words I searched for in the title.,3,The search engine needs work. Doesn't work as well as I'd like. a lot of useless items come up in a search that has none of the words I searched for in the title.,com.alibaba.aliexpresshd,18/03/21
36,Great,5,Great.,com.alibaba.aliexpresshd,18/03/21
37,Good but late,3,Good but late.,com.alibaba.aliexpresshd,18/03/21
38,This app is great for finding stuff at somewhat reasonable prices. But just like wish they start to progressively stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up the seller's want to lie about ETAs. I done with this app. Since Covid-19 they have making any excuse to not send your items. Tracking numbers do not track the package. Genuinely done with this app after my previous orders arrive or if they ever do.,1,"This app is great for finding stuff at somewhat reasonable prices, but just like wish they start to gradually stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up, the seller's want to lie about ETAs. i done with this app. Since Covid-19, they have making any excuse to not send your items. Tracking numbers do not track the package. Genuinely done with this app after my previous orders arrive or if they ever do.",com.alibaba.aliexpresshd,18/03/21
39,"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.",5,"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.",com.alibaba.aliexpresshd,18/03/21
40,Fun fun fun,5,Fun fun fun.,com.alibaba.aliexpresshd,18/03/21
41,Very good app,5,Very good app.,com.alibaba.aliexpresshd,18/03/21
42,Is incredible...,5,Is incredible...,com.alibaba.aliexpresshd,18/03/21
43,Very good,3,Very good.,com.alibaba.aliexpresshd,18/03/21
44,Great honest app..,4,Great honest app.,com.alibaba.aliexpresshd,18/03/21
45,"App itself is good, easy to use and with loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to arrive so far... if you want an item quick forget this and go to a local shop. You do have different freight options but these are pricey and so nullify any savings you may make.",2,"App itself is good, easy to use, and with loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to arrive so far... If you want an item quick forget this and go to a local shop. You do have different freight options, but these are expensive and so nullify any savings you may make.",com.alibaba.aliexpresshd,18/03/21
46,I can't live without Ali Express ido alot of shopping 🛒,5,I can't live without Ali Express ido alot of shopping.,com.alibaba.aliexpresshd,18/03/21
47,👍,5,,com.alibaba.aliexpresshd,18/03/21
48,Would have given 5 stars if Cash on delivery option was available..,1,Would have given 5 stars if Cash on delivery option was available.,com.alibaba.aliexpresshd,18/03/21
49,Nice app,5,Nice app.,com.alibaba.aliexpresshd,18/03/21
50,Produtos variados e com ótimo preço. Mas o tempo de espera para chegar o produto na sua casa... Vish!,4,"Produtos variados e. com ótimo preço, Mas o Tempo de espera para chegar o Produto Na sua casa... Vish!",com.alibaba.aliexpresshd,18/03/21
51,"So far so good,got items on time",5,"So far so good, got items on time.",com.alibaba.aliexpresshd,18/03/21
52,Amazing app. Best place to purchase your product internationally,5,Amazing app. Best place to purchase your product internationally.,com.alibaba.aliexpresshd,18/03/21
53,Ali express is great. Sometimes orders take a very long time but I'm ok with it as long as my things arrive when it says .,5,"Ali express is great. Sometimes orders take a very long time, but I'm okay with it as long as my things arrive when it says.",com.alibaba.aliexpresshd,18/03/21
54,"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.",5,"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.",com.alibaba.aliexpresshd,18/03/21
55,Fast delivery,5,Fast delivery.,com.alibaba.aliexpresshd,18/03/21
56,"Some shipments take long, and most of the things they sell is cheap but i really like this app because the stuff is cheap depending on what you order :)",4,"Someshipments take long, and most of the things they sell is cheap, but I really like this app because the stuff is cheap depending on what you order.",com.alibaba.aliexpresshd,18/03/21
57,رائع للتسوق,5,,com.alibaba.aliexpresshd,18/03/21
58,YOU NOOB NO LEGO POLICE BOAY 60045 👎😭😢😡,1,You noob no LEGO police boat (60045).,com.alibaba.aliexpresshd,18/03/21
59,Too many problems with service. I am done. Not an easy solution and prices are about same as Amazon for same prices..and better problem resolution,2,"Too many problems with service, I am done. Not an easy solution, and prices are about same as Amazon for same prices.",com.alibaba.aliexpresshd,18/03/21
60,This App Really Makes Shopping Easy and Fun,5,This app really makes shopping easy and fun.,com.alibaba.aliexpresshd,18/03/21
61,Excellent,5,Excellent.,com.alibaba.aliexpresshd,18/03/21
62,Am very happy to use this app everything is straight forward and deliveries are quick,5,"Am very happy to use this app, everything is straight forward and deliveries are quick.",com.alibaba.aliexpresshd,18/03/21
63,got credit card fraud the next day after my first purchase. But yea what do I expect on a cheap website.,1,Got credit card fraud the next day after my first purchase.,com.alibaba.aliexpresshd,18/03/21
64,Very nice app,5,Very nice app.,com.alibaba.aliexpresshd,18/03/21
65,Very easy app to use. Lots to choose from.,5,Very easy app to use.,com.alibaba.aliexpresshd,18/03/21
66,"Theres one item that i didnt get, but i still like this better than others apps.",5,"There's one item that I didn't get, but I still like this better than others apps.",com.alibaba.aliexpresshd,18/03/21
67,With time I will give it 5 stars Started using it not quite long,3,"With time I will give it 5 stars, Started using it not quite long.",com.alibaba.aliexpresshd,18/03/21
68,"All I can say is I LOVE LOVE LOVE ALIEXPRESS, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - ALWAYS CHECK OUT REVIEWS THEY HELP SO MUCH!!! - Well worth the wait for shipping. Vendors are great and if there is a problem (which doesn't happen much), AliExpress works with purchasers and refunds cost including shipping if appropriate.",5,"All I can say is, ""I Love Love"", ""AlienExpress"", ""The prices are great, and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - - always check out reviews. They help so much!!! - ''Well worth the wait for shipping.'' Vendors are great, and if there is a problem (which doesn't happen much), AliExpress works with purchasers and refunds cost including shipping, if appropriate.",com.alibaba.aliexpresshd,18/03/21
69,Amazing,5,Amazing,com.alibaba.aliexpresshd,18/03/21
70,For the years I've been on AliExpress I've ONLY had a handful of negative experiences. The overall experience has been positive. Let's hope they keep it going in a great direction,5,"For the years I've been on AliExpress, I've only had a few negative experiences. The overall experience has been positive. Let's hope they keep it going in a great direction.",com.alibaba.aliexpresshd,18/03/21
71,I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.. different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us the facility of cash on delivery. ?,4,I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.,com.alibaba.aliexpresshd,18/03/21
72,Good,4,Good,com.alibaba.aliexpresshd,18/03/21
73,Nice,5,Nice.,com.alibaba.aliexpresshd,18/03/21
74,My favourite app,5,My favourite app.,com.alibaba.aliexpresshd,18/03/21
75,Great service.,5,Great service.,com.alibaba.aliexpresshd,18/03/21
76,Good deals but too long shipping time could it be Faster ??,4,"Good deals, but too long shipping time could it be faster???",com.alibaba.aliexpresshd,18/03/21
77,Awesome,1,Awesome.,com.alibaba.aliexpresshd,18/03/21
78,I'm very satisfied with their service. This is the best online shopping app I have used so far. Highly recommend,5,I'm very satisfied with their service. This is the best online shopping app I have used so far.,com.alibaba.aliexpresshd,18/03/21
79,"Was enjoying the app initially but now its a total mess, you order something, the seller sends incomplete items and you can neither open dispute, send the seller a message nor contact the support team. You just end up losing your money!This is very irresponsible of Ali express in short thus is cheating!",2,"Was enjoying the app initially, but now it's a total mess, you order something, the seller sends incomplete items, and you can neither open dispute, send the seller a message or contact the support team. You just end up losing your money!!This is very irresponsible of Ali Express in short, thus is cheating!",com.alibaba.aliexpresshd,18/03/21
80,"The delivery is extremely poor! very poor indeed.Even if an order is delivered by foot from overseas, it cant surely take over 4 months.Other online business platforms like kilmall are exemplary. Ali Express you need to have a total turnaround.",1,"The delivery is extremely poor! - very poor indeed. if an order is delivered by foot from overseas, it can't surely take over 4 months.Other online business platforms like Kilmall are excellent. - Ali Express you need to have a total turnaround.",com.alibaba.aliexpresshd,18/03/21
81,Package was in perfect condition. Shipping was faster than expected..,4,Package was in perfect condition.,com.alibaba.aliexpresshd,18/03/21
82,New customer. Little bit wary at first but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago but the tracking info on the app is pretty informative. Waiting on the others...,5,"New customer. Little bit nice at first, but no real worries as my few items are small and low value. So far the first one arrived today. I ordered it 5 weeks ago, but the tracking info on the app is pretty informative. Waiting on the others...",com.alibaba.aliexpresshd,18/03/21
83,👍👍,5,,com.alibaba.aliexpresshd,18/03/21
84,Fair and good,4,Fair and good.,com.alibaba.aliexpresshd,18/03/21
85,Amazing,5,Amazing,com.alibaba.aliexpresshd,18/03/21
86,So reliable.,5,So reliable.,com.alibaba.aliexpresshd,18/03/21
87,Very nice,5,Very nice.,com.alibaba.aliexpresshd,18/03/21
88,Worst customer support. Bloody robot dont let you chat with agent and doesn't answer to queries. Disputes are pending from three months but Aliexpress is sleeping,1,"Worst customer support, Bloody robot, dont let you chat with agent and doesn't answer to queries. Disputes are pending from three months, but AliExpress is sleeping.",com.alibaba.aliexpresshd,18/03/21
89,Awesome and user friendly,5,Awesome and user friendly.,com.alibaba.aliexpresshd,18/03/21
90,Useless.. fake,1,Useless.,com.alibaba.aliexpresshd,18/03/21
91,Super,5,Super,com.alibaba.aliexpresshd,18/03/21
92,Love it,5,Love it.,com.alibaba.aliexpresshd,18/03/21
93,Great,5,Great.,com.alibaba.aliexpresshd,18/03/21
94,Excellent,5,Excellent.,com.alibaba.aliexpresshd,18/03/21
95,"They have really good stuff, I've just had a lot of problems with shipping :( It usually takes 2-3 months to get something delivered.",4,"They have really good stuff, I've just had a lot of problems with shipping.",com.alibaba.aliexpresshd,18/03/21
96,Amazing selection,5,Amazing Selection,com.alibaba.aliexpresshd,18/03/21
97,Totally satisfied with shipping time and product's in which I have purchased.,5,Very satisfied with shipping time and product's in which I have purchased.,com.alibaba.aliexpresshd,18/03/21
98,Very good,5,Very good.,com.alibaba.aliexpresshd,18/03/21
99,Very good Shopping Apps,5,Very good shopping apps.,com.alibaba.aliexpresshd,18/03/21
100,Is ok,4,Is OK?,com.alibaba.aliexpresshd,18/03/21
101,🙃🙂,5,,com.alibaba.aliexpresshd,18/03/21
102,😊,5,,com.alibaba.aliexpresshd,18/03/21
103,Good app you can get anything you want at any store at your convenience time,5,Good app You can get anything you want at any store at your convenience time.,com.alibaba.aliexpresshd,18/03/21
104,Best app,5,Best app.,com.alibaba.aliexpresshd,18/03/21
105,Very bad experience buying in this platform. Delivery is often more than 30 days and up to 55 days. Dispute is handled by robot and no real people behind it. Return shipping for faulty item is paid by the buyer and most of the time is expensive and not worth it. The price published for a product is often based on the lowest forex rate so that the item look cheaper. So many manipulations inside this platform. I would advise anyone not to buy from this platform.There are better platforms out there,1,"Very bad experience buying in this platform. Delivery is often more than 30 days and up to 55 days.Dispute is handled by robot and no real people behind it. Return shipping for defective item is paid by the buyer and most of the time is expensive and not worth it. The price published for a product is often based on the lowest forex rate so that the item look cheaper. So many manipulations inside this platform, I would advise anyone not to buy from this platform. There are better platforms out there.",com.alibaba.aliexpresshd,18/03/21
106,I just had an amazing experience with AliExpress,5,I just had an amazing experience with AliExpress.,com.alibaba.aliexpresshd,18/03/21
107,Very good site easy to use,5,Very good site easy to use.,com.alibaba.aliexpresshd,18/03/21
108,"Yep really good until use it a few more times. Thanks. Tony,",3,"Yep, really good, until use it some more times.",com.alibaba.aliexpresshd,18/03/21
109,Trusted and reliable Fast and cheap Accurate and sure,5,"Trusted and reliable, fast and cheap, Accurate and sure.",com.alibaba.aliexpresshd,18/03/21
110,Very useful,5,Very useful.,com.alibaba.aliexpresshd,18/03/21
111,"The app is convenient but, items are too small to see correctly. This makes it hard to choose the right colors. The app is a little difficult. I also encountered a clip of porn in one of the product streams. I like using the computer better than the app.",3,"The app is convenient, but items are too small to see correctly. This makes it hard to choose the right colors. The app is a little difficult. I also encountered a clip of porn in one of the product streams. I like using the computer better than the app.",com.alibaba.aliexpresshd,18/03/21
112,I love how they have so many products!,5,I love how they have so many products!,com.alibaba.aliexpresshd,18/03/21
113,Good,5,Good,com.alibaba.aliexpresshd,18/03/21
114,Easy to look for anything needed,5,Easy to look for anything needed.,com.alibaba.aliexpresshd,18/03/21
115,nice,5,nice.,com.alibaba.aliexpresshd,18/03/21
116,Its good,4,It's good.,com.yahoo.mobile.client.android.mail,18/03/21
117,Excellent,5,Excellent.,com.yahoo.mobile.client.android.mail,18/03/21
118,It's simply the best,5,It's simply the best.,com.yahoo.mobile.client.android.mail,18/03/21
119,"Yeah, it's alright",4,"Yeah, it's right.",com.yahoo.mobile.client.android.mail,18/03/21
120,I am using yahoo more than 15 years and happy to use it in the future. Thank yahoo.,5,I am using Yahoo more than 15 years and happy to use it in the future.,com.yahoo.mobile.client.android.mail,18/03/21
121,Convenient,4,Convenient,com.yahoo.mobile.client.android.mail,18/03/21
122,Works for me.,5,Works for me.,com.yahoo.mobile.client.android.mail,18/03/21
123,Very good 👍,5,Very good,com.yahoo.mobile.client.android.mail,18/03/21
124,Easy to work and read,5,Easy to work and read.,com.yahoo.mobile.client.android.mail,18/03/21
125,Great!,5,Great!,com.yahoo.mobile.client.android.mail,18/03/21
126,I order all the time from Affirm their pretty reasonable and their fair,5,I order all the time from Affirm their pretty reasonable and their fair.,com.yahoo.mobile.client.android.mail,18/03/21
127,Great!,5,Great!,com.yahoo.mobile.client.android.mail,18/03/21
128,Very effective and quick,5,Very effective and quick.,com.yahoo.mobile.client.android.mail,18/03/21
129,"This is absolutely the worst email app out there. I'm very disappointed I actually thought that Yahoo after all these years would have had their act together when it came to providing good reliable and fast and accurate email. Just to give you a for instance when I try to delete an email, I can't get rid of it, and it takes two or three tries before it's finally deleted. This email app by Yahoo has a lot of glitches and bugs in it. The bottom line is I don't recommend that you install this.",1,"This is absolutely the worst email app out there. I'm very disappointed I actually thought that Yahoo after all these years would have had their act together when it came to providing good, reliable, and fast and accurate email. Just to give you a example, when I try to delete an email, I can't get rid of it, and it takes two or threetries before it's finally deleted. This email app by Yahoo has a lot of glitches and bugs in it. The bottom line is, ""I don't recommend that you install this.""",com.yahoo.mobile.client.android.mail,18/03/21
130,It's email...,4,It's email...,com.yahoo.mobile.client.android.mail,18/03/21
131,I can't open links on my email I have updated and reinstall it and still having trouble trying to open a link on a email li yes I do have Tmobile but I never had problems with it,1,"I can't open links on my email, I have updated and install it and still having trouble trying to open a link on a email li yes, I do have mobile but I never had problems with it.",com.yahoo.mobile.client.android.mail,18/03/21
132,Its working satisfactory.,5,It's working satisfactory.,com.yahoo.mobile.client.android.mail,18/03/21
133,Very satisfied,4,Very satisfied.,com.yahoo.mobile.client.android.mail,18/03/21
134,Serves my needs very well.,4,Serves my needs very well.,com.yahoo.mobile.client.android.mail,18/03/21
135,Good experience,5,Good experience.,com.yahoo.mobile.client.android.mail,18/03/21
136,I love how easy it is to navigate my mail now. The folders I can make are wonderful. Highly recommend this email.,5,I love how easy it is to navigate my mail now. The folders I can make are wonderful.,com.yahoo.mobile.client.android.mail,18/03/21
137,Ok email,5,Ok email.,com.yahoo.mobile.client.android.mail,18/03/21
138,Great,5,Great.,com.yahoo.mobile.client.android.mail,18/03/21
139,Excelentes,5,Excelentes,com.yahoo.mobile.client.android.mail,18/03/21
140,"I have been using this app a few days, but I really like it. Sometimes it's a bit slow, but it is easy to use and allows for organized email.",5,"I have been using this app several days, but I really like it. Sometimes it's a bit slow, but it is easy to use and allows for organized email.",com.yahoo.mobile.client.android.mail,18/03/21
141,The best,5,The best.,com.yahoo.mobile.client.android.mail,18/03/21
142,TOO MANY HOOPS TO JUMP THRU FOR VERIFICATION. BROKEN APP,3,Too many hooks to jump thru for verification.,com.yahoo.mobile.client.android.mail,18/03/21
143,Yahoo has improved so much more,5,Yahoo has improved so much more.,com.yahoo.mobile.client.android.mail,18/03/21
144,Great functionality and stability!,5,Great functionality and stability!,com.yahoo.mobile.client.android.mail,18/03/21
145,Great app!,5,Great app!,com.yahoo.mobile.client.android.mail,18/03/21
146,"I am using Yahoo mail from last 20 yrs ,good service and easy to understand format",5,"I am using Yahoo mail from last 20 years, 'Good service' and easy to understand format.",com.yahoo.mobile.client.android.mail,18/03/21
147,Well designed for lazy people! Very easy and convenience!,5,Well designed for lazy people!,com.yahoo.mobile.client.android.mail,18/03/21
148,Thank you Yahoo! Mail 💌,5,Thank you Yahoo! Mail,com.yahoo.mobile.client.android.mail,18/03/21
149,It's nice n good app.,5,It's nice n' good app.,com.yahoo.mobile.client.android.mail,18/03/21
150,Too good,5,Too good.,com.yahoo.mobile.client.android.mail,18/03/21
151,Great 👍,5,Great,com.yahoo.mobile.client.android.mail,18/03/21
152,notices come in twice I only need them once,3,"Notices come in twice, I only need them once.",com.yahoo.mobile.client.android.mail,18/03/21
153,Very easy to use,5,Very easy to use.,com.yahoo.mobile.client.android.mail,18/03/21
154,"Have had it forever, has not let me down yet!.",5,"Have had it forever, has not let me down yet!",com.yahoo.mobile.client.android.mail,18/03/21
155,The best email provider in my eyes,5,The best email provider in my eyes.,com.yahoo.mobile.client.android.mail,18/03/21
156,No issues. Works well,5,No issues.,com.yahoo.mobile.client.android.mail,18/03/21
157,Abcd,1,Abcd,com.halfbrick.fruitninjafree,18/03/21
158,Very user friendly and I feel that my information is secure,5,Very user friendly and I feel that my information is secure.,com.yahoo.mobile.client.android.mail,18/03/21
159,This app used to be great but the last 3 days I have not been able access my emails. Everytime I try to open an email the app kicks me out. I have uninstalled and reinstalled the app but the same thing. Please fix this,2,"This app used to be great, but the last 3 days I have not been able access my emails. Everytime I try to open an email, the app kicks me out. I have installed and reinstalled the app, but the same thing.",com.yahoo.mobile.client.android.mail,18/03/21
160,5 stars,5,5 stars,com.yahoo.mobile.client.android.mail,18/03/21
161,Very easy to use and understand,5,Very easy to use and understand.,com.yahoo.mobile.client.android.mail,18/03/21
162,Very seldom have trouble with it.,5,Very seldom have trouble with it.,com.yahoo.mobile.client.android.mail,18/03/21
163,Thank you so much. Free email apps.,5,Thank you so much. Free email apps.,com.yahoo.mobile.client.android.mail,18/03/21
164,Exelente 👍🏻,5,Exelente,com.yahoo.mobile.client.android.mail,18/03/21
165,Excellent service,5,Excellent service.,com.yahoo.mobile.client.android.mail,18/03/21
166,"Works well, easy to use",5,"Works well, easy to use.",com.yahoo.mobile.client.android.mail,18/03/21
167,Thank you I appreciate this app its been a great tool for me✌I can always count on this app to work🙏,5,"Thank you, I appreciate this app, it's been a great tool for me,I can always count on this app to work.",com.yahoo.mobile.client.android.mail,18/03/21
168,Useful,5,Useful,com.yahoo.mobile.client.android.mail,18/03/21
169,So far no issues,5,So far no issues.,com.yahoo.mobile.client.android.mail,18/03/21
170,Good,5,Good,com.yahoo.mobile.client.android.mail,18/03/21
171,Too many advertisements. It's very annoying.,3,"Too many advertisements, it's very annoying.",com.yahoo.mobile.client.android.mail,18/03/21
172,Rubbish,1,Rubish,com.yahoo.mobile.client.android.mail,18/03/21
173,Happy,5,Happy,com.yahoo.mobile.client.android.mail,18/03/21
174,Very interesting and convenient to use. Totally user friendly,5,Very interesting and convenient to use. Totally user friendly.,com.yahoo.mobile.client.android.mail,18/03/21
175,Very fantastics,5,Very fantastics.,com.badoo.mobile,18/03/21
176,OK,4,OK.,com.yahoo.mobile.client.android.mail,18/03/21
177,Great job Wii use it more!,4,Great job Wii use it more!,com.yahoo.mobile.client.android.mail,18/03/21
178,Outstanding app,5,Outstanding app.,com.yahoo.mobile.client.android.mail,18/03/21
179,"This app is extraordinary and very very helpful for daily day today life Sending group messages, informations, urgent and immediate details and very handy app for all ages and all times",5,"This app is extraordinary and very helpful for everyday life, sending group messages, information, urgent and immediate details, and very handy app for all ages and all times.",com.yahoo.mobile.client.android.mail,18/03/21
180,Very good,5,Very good.,com.yahoo.mobile.client.android.mail,18/03/21
181,Seems to have fewer glitches now,4,Seems to have less glitches now.,com.yahoo.mobile.client.android.mail,18/03/21
182,Useless,1,Useless,com.yahoo.mobile.client.android.mail,18/03/21
183,Amazing and win 🏆👏,5,Amazing and win.,com.yahoo.mobile.client.android.mail,18/03/21
184,Totoka,5,Totoka,com.yahoo.mobile.client.android.mail,18/03/21
185,Very reliable,5,Very reliable.,com.yahoo.mobile.client.android.mail,18/03/21
186,Ad buttons are none responsive,1,Ad buttons are none responsive.,com.yahoo.mobile.client.android.mail,18/03/21
187,Ok,3,Ok.,com.yahoo.mobile.client.android.mail,18/03/21
188,Smooth,5,Smooth,com.yahoo.mobile.client.android.mail,18/03/21
189,I enjoy all that yahoo has to offer,5,I enjoy all that Yahoo has to offer.,com.yahoo.mobile.client.android.mail,18/03/21
190,"You have Fixed Contacts save System, instead of Contacts List save as per our customised matched.",4,You have Fixed Contacts save system instead of Contacts List save as per our customized match.,com.yahoo.mobile.client.android.mail,18/03/21
191,Good then before though Improving slowly...,4,"Good then, before, though, improving slowly.",com.yahoo.mobile.client.android.mail,18/03/21
192,Great tool to keep in touch with individuals and businesses,5,Great tool to keep touch with individuals and businesses.,com.yahoo.mobile.client.android.mail,18/03/21
193,Not for me.. too many ads. its distracts me too much. I forget why I opened my emails in the first place 😐,3,Not for me.,com.yahoo.mobile.client.android.mail,18/03/21
194,Highly appropriate and useful.,5,Highly appropriate and useful.,com.yahoo.mobile.client.android.mail,18/03/21
195,"Your app keeps crapping out, I have to keep checking my emails constantly for new emails. The icon notifications will randomly show that I have emails. I can't open up my sent out email box. It keeps kicking me out of the app completely every time. I've uninstalled the app several times to refresh the app, I've cleaned out the caches several times. What is going on with this app?",1,"Your app keeps crapping out, I have to keep checking my emails constantly for new emails. The icon notifications will randomly show that I have emails. I can't open my sent-out email box. It keeps kick me out of the app completely every time. I've installed the app several times to refresh the app. I've cleaned out the caches several times. What is going on with this app?",com.yahoo.mobile.client.android.mail,18/03/21
196,Great App!,5,Great App!,com.yahoo.mobile.client.android.mail,18/03/21
197,Good,5,Good,com.yahoo.mobile.client.android.mail,18/03/21
198,"I'm sick of it asking me to review it when I reviewed it years ago. Also, I now need a VPN to properly read my emails in China 😔",4,"I'm sick of it asking me to review it when I reviewed it years ago. Also, I now need a VPN to properly read my emails in China.",com.yahoo.mobile.client.android.mail,18/03/21
199,"I Love using yahoo mail. It's always been fun, convienient, and robust to use.",5,"I love using Yahoo mail. It's always been fun, convienient, and robust to use.",com.yahoo.mobile.client.android.mail,18/03/21
200,Gives me the ease of use I like and allows me to have another email address to use for various outlets.,5,Gives me the ease of use I like and allows me to have another email address to use for various outlets.,com.yahoo.mobile.client.android.mail,18/03/21
201,Very usefull,5,Very useful.,com.yahoo.mobile.client.android.mail,18/03/21
202,Very useful.,5,Very useful.,com.yahoo.mobile.client.android.mail,18/03/21
203,Awsome,5,Awsome,com.yahoo.mobile.client.android.mail,18/03/21
204,bugs all the time. I constantly have to open the app from the app store.,1,bugs all the time.,com.yahoo.mobile.client.android.mail,18/03/21
205,Ive been with yahoo since early 2000. Loyal to yahoo,5,I've been with Yahoo since early 2000; &quot; Loyal to Yahoo.,com.yahoo.mobile.client.android.mail,18/03/21
